epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,176.961,1.11402,1.44172,1.28029,0.72378,0.60294,0.64996,0.39173,1.40898,1.21298,1.23786,0.00999057,0.00333019,0.00999057,0.00333019,0.00999057,0.00333019,0.00999057,0.00333019
2,341.415,1.19849,1.22685,1.3345,0.74602,0.56265,0.63109,0.36194,1.47361,1.36431,1.3113,0.0197927,0.00659755,0.0197927,0.00659755,0.0197927,0.00659755,0.0197927,0.00659755
3,495.557,1.34774,1.4334,1.43429,0.67436,0.4806,0.5354,0.28265,1.68431,1.80216,1.45428,0.0293968,0.00979892,0.0293968,0.00979892,0.0293968,0.00979892,0.0293968,0.00979892
4,647.812,1.39104,1.50536,1.47468,0.73875,0.52504,0.60026,0.3362,1.57936,1.48578,1.36985,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,803.04,1.32214,1.38494,1.43076,0.75642,0.5941,0.66,0.38893,1.50213,1.2782,1.32069,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,956.818,1.26072,1.28585,1.38442,0.84487,0.63047,0.72915,0.44358,1.38046,1.15383,1.24709,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1109.69,1.22853,1.22434,1.36677,0.83788,0.64727,0.73138,0.45571,1.33465,1.09925,1.23256,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1264.58,1.19767,1.17064,1.34536,0.86036,0.6459,0.74156,0.46818,1.31386,1.03047,1.20338,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1417.85,1.16604,1.12807,1.31527,0.84334,0.68252,0.77052,0.49324,1.26311,0.98393,1.1776,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1568.79,1.14173,1.08786,1.30907,0.84812,0.68062,0.76931,0.48906,1.26799,0.97768,1.17598,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1725.5,1.13048,1.0657,1.29679,0.87912,0.69255,0.78597,0.51815,1.21492,0.92473,1.16039,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
